,Age,Sex,Race,marital_status,Education,Employement,Incomes,how_many_books_12m,printed_books_12m,audiobooks_12m,ebooks_12m,how_did_you_get,news_or_newspapers,magazines_or_journals,printed,audiobooks,ebooks
49,65,Female,White,Living with a partner,"Some college, no 4-year degree",Employed part-time,5. 40m-49.9m,97,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0
50,65,Female,White,Divorced,"Some college, no 4-year degree",Retired,3. 20-29.9,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
51,64,Female,White,Married,Post-graduate training/professional school after college,Retired,7. 100-149.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
52,64,Male,White,Married,Post-graduate training/professional school after college,Retired,7. 100-149.9,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
53,64,Female,White,Widowed,High school graduate,Retired,Refused,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
54,64,Male,White,Married,College graduate,Employed full-time,7. 100-149.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
55,63,Female,White,Married,Post-graduate training/professional school after college,Retired,6. 75-99.9,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
56,63,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,5. 50-74.9,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
57,62,Female,White,Divorced,College graduate,Retired,3. 20-29.9,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
58,60,Female,White,Widowed,College graduate,Employed full-time,7. 100-149.9,97,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1
59,60,Female,White,Single,College graduate,Employed full-time,5. 50-74.9,97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,1,1,1
60,60,Female,White,Never been married,College graduate,Employed part-time,5. 50-74.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
61,60,Female,White,Married,College graduate,Employed full-time,5. 50-74.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
62,60,Female,White,Never been married,College graduate,Retired,3. 20-29.9,97,Yes,Yes,No,Purchased the book,Yes,No,1,1,0
63,59,Female,White,Married,Post-graduate training/professional school after college,Retired,Refused,97,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0
64,59,Female,White,Married,Post-graduate training/professional school after college,Retired,7. 100-149.9,97,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes,1,1,0
65,59,Female,White,Married,College graduate,Employed full-time,7. 100-149.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
66,58,Female,White,Married,High school graduate,Not employed for pay,5. 50-74.9,97,Yes,No,No,Purchased the book,No,No,1,0,0
67,58,Male,White,Never been married,"Some college, no 4-year degree",Not employed for pay,2. 10-19.9,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
68,58,Female,White,Married,"Some college, no 4-year degree",Employed part-time,5. 50-74.9,97,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0
69,58,Female,White,Married,Post-graduate training/professional school after college,Other,7. 100-149.9,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
70,57,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,7. 100-149.9,97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,1,1,1
71,56,Female,White,Divorced,High school graduate,Retired,3. 20-29.9,97,Yes,No,No,Purchased the book,No,Yes,1,0,0
72,55,Female,White,Married,"Some college, no 4-year degree",Retired,5. 50-74.9,97,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1
73,55,Female,White,Married,"Some college, no 4-year degree",Have own business/self-employed,Refused,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
74,54,Female,White,Married,College graduate,Employed full-time,Refused,97,Yes,Don’t know,Yes,Borrowed the book from a library,Yes,Yes,1,0,1
75,53,Female,White,Divorced,High school graduate,Employed full-time,4. 30m-39.9m,97,Yes,No,No,Purchased the book,No,No,1,0,0
76,53,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,5. 50-74.9,97,Yes,No,Yes,Purchased the book,No,Yes,1,0,1
77,52,Female,White,Married,College graduate,Employed part-time,7. 100-149.9,97,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0
78,52,Female,White,Married,College graduate,Employed full-time,3. 20-29.9,97,Yes,No,Yes,Got the book some other way,No,No,1,0,1
79,50,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,6. 75-99.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
80,50,Male,White,Married,College graduate,Employed full-time,7. 100-149.9,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
81,50,Female,White,Married,High school incomplete,Not employed for pay,1. <10m,97,Yes,No,No,Purchased the book,Yes,No,1,0,0
82,46,Female,White,Married,College graduate,Have own business/self-employed,4. 30m-39.9m,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
83,46,Female,White,Married,College graduate,Not employed for pay,7. 100-149.9,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0
84,45,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,7. 100-149.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
85,44,Male,White,Married,"Some college, no 4-year degree",Employed full-time,5. 50-74.9,97,Yes,No,Yes,Purchased the book,No,Yes,1,0,1
86,42,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,7. 100-149.9,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,1,0,1
87,41,Female,White,Married,College graduate,Employed full-time,4. 30m-39.9m,97,Yes,Yes,No,Borrowed the book from a library,No,Yes,1,1,0
88,40,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,7. 100-149.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
89,38,Male,White,Married,College graduate,Not employed for pay,Refused,97,Yes,No,Yes,Got the book some other way,Yes,Yes,1,0,1
90,38,Female,White,Married,College graduate,Employed full-time,7. 100-149.9,97,Yes,No,Yes,Purchased the book,No,Yes,1,0,1
91,38,Female,White,Married,College graduate,Have own business/self-employed,7. 100-149.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
92,37,Female,White,Married,College graduate,Employed part-time,5. 40m-49.9m,97,Yes,No,Yes,Purchased the book,No,No,1,0,1
93,36,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,4. 30m-39.9m,97,Yes,No,Yes,Purchased the book,No,No,1,0,1
94,35,Male,White,Single,High school graduate,Not employed for pay,2. 10-19.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
95,35,Male,White,Married,"Some college, no 4-year degree",Have own business/self-employed,3. 20-29.9,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
96,34,Female,White,Married,College graduate,Employed full-time,6. 75-99.9,97,Yes,No,Yes,Borrowed the book from a library,No,Yes,1,0,1
97,34,Male,White,Married,High school graduate,Employed full-time,5. 40m-49.9m,97,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes,1,1,0
98,33,Female,White,Married,College graduate,Employed full-time,7. 100-149.9,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,1,0,1
99,32,Female,White,Married,High school graduate,Not employed for pay,4. 30m-39.9m,97,Yes,No,No,Purchased the book,Yes,No,1,0,0
100,32,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,6. 75-99.9,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
101,32,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,5. 50-74.9,97,Yes,No,No,Purchased the book,No,No,1,0,0
102,30,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,6. 75-99.9,97,Yes,No,Yes,Purchased the book,No,Yes,1,0,1
103,29,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,7. 100-149.9,97,Yes,Yes,Yes,Purchased the book,Yes,No,1,1,1
104,28,Male,White,Married,"Some college, no 4-year degree",Employed full-time,5. 50-74.9,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
105,28,Male,White,Married,High school incomplete,Employed full-time,5. 40m-49.9m,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
106,27,Male,White,Married,"Some college, no 4-year degree",Retired,5. 40m-49.9m,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
107,26,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,2. 10-19.9,97,Yes,No,No,Purchased the book,No,No,1,0,0
108,25,Male,White,Never been married,Post-graduate training/professional school after college,Employed part-time,7. 100-149.9,97,Yes,No,No,Purchased the book,No,Yes,1,0,0
109,24,Female,White,Never been married,High school graduate,Not employed for pay,7. 100-149.9,97,Yes,No,No,Purchased the book,No,Yes,1,0,0
110,24,Female,White,Never been married,College graduate,Employed full-time,3. 20-29.9,97,Yes,No,Yes,Purchased the book,No,No,1,0,1
111,23,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,1. <10m,97,Yes,Yes,No,Purchased the book,No,No,1,1,0
112,23,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,3. 20-29.9,97,Yes,No,No,Borrowed the book from a friend or family member,No,Yes,1,0,0
113,22,Male,White,Married,"Technical, trade or vocational school AFTER high school",Employed full-time,2. 10-19.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
114,22,Male,White,Never been married,Post-graduate training/professional school after college,Employed part-time,2. 10-19.9,97,Yes,Yes,Yes,Got the book some other way,Yes,Yes,1,1,1
115,21,Male,White,Living with a partner,"Some college, no 4-year degree",Employed part-time,1. <10m,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,1,0,1
116,20,Female,White,Living with a partner,High school graduate,Employed part-time,3. 20-29.9,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
117,19,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,7. 100-149.9,97,Yes,No,Yes,Purchased the book,No,No,1,0,1
118,18,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,7. 100-149.9,97,Yes,No,No,Purchased the book,Yes,No,1,0,0
119,18,Female,White,Living with a partner,"Some college, no 4-year degree",Not employed for pay,4. 30m-39.9m,97,Yes,No,No,Got the book some other way,Yes,No,1,0,0
120,17,Female,White,Never been married,High school incomplete,Not employed for pay,7. 100-149.9,97,Yes,No,No,Borrowed the book from a friend or family member,No,No,1,0,0
121,17,Female,White,Never been married,High school incomplete,Employed part-time,7. 100-149.9,97,Yes,No,No,Borrowed the book from a friend or family member,No,No,1,0,0
122,16,Female,White,Never been married,High school incomplete,Not employed for pay,7. 100-149.9,97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
123,16,Female,White,Never been married,High school incomplete,Not employed for pay,7. 100-149.9,97,Yes,No,No,Borrowed the book from a library,No,No,1,0,0
124,64,Female,Native American/American Indian,Divorced,"Some college, no 4-year degree",Retired,5. 50-74.9,96,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
125,40,Male,Black or African-American,Divorced,High school graduate,Retired,1. <10m,96,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
126,67,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,7. 100-149.9,96,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
127,66,Male,White,Married,Post-graduate training/professional school after college,Retired,7. 100-149.9,96,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes,1,1,0
128,65,Female,White,Divorced,Post-graduate training/professional school after college,Employed full-time,5. 50-74.9,96,Yes,No,No,Borrowed the book from a library,No,Yes,1,0,0
129,57,Female,White,Divorced,"Technical, trade or vocational school AFTER high school",Employed full-time,3. 20-29.9,96,Yes,No,No,Purchased the book,No,Yes,1,0,0
130,57,Female,White,Married,High school graduate,Retired,7. 100-149.9,96,Yes,No,Yes,Purchased the book,No,No,1,0,1
131,56,Female,White,Married,"Some college, no 4-year degree",Employed full-time,6. 75-99.9,96,Yes,Yes,Yes,Borrowed the book from a library,No,Yes,1,1,1
132,53,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,6. 75-99.9,96,Yes,No,No,Purchased the book,No,Yes,1,0,0
133,53,Female,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,96,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0
134,52,Female,White,Never been married,Post-graduate training/professional school after college,Employed part-time,7. 100-149.9,96,Yes,Yes,No,Purchased the book,No,Yes,1,1,0
135,52,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,7. 100-149.9,96,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
136,48,Female,White,Married,"Some college, no 4-year degree",Employed full-time,6. 75-99.9,96,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
137,47,Female,White,Married,"Some college, no 4-year degree",Employed part-time,5. 50-74.9,96,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
138,28,Female,White,Single,"Some college, no 4-year degree",Employed full-time,2. 10-19.9,96,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1
139,74,Male,White,Married,High school graduate,Retired,Refused,90,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0
140,33,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,6. 75-99.9,90,Yes,Yes,No,Borrowed the book from a library,Yes,No,1,1,0
141,47,Female,White,Married,"Some college, no 4-year degree",Employed full-time,5. 50-74.9,84,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
142,53,Female,Black or African-American,Married,Post-graduate training/professional school after college,Employed full-time,7. 100-149.9,80,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
143,69,Female,White,Never been married,Post-graduate training/professional school after college,Retired,5. 50-74.9,80,Yes,Yes,No,Got the book some other way,No,Yes,1,1,0
144,65,Female,White,Married,High school graduate,Retired,Refused,80,Yes,No,No,Purchased the book,Yes,No,1,0,0
145,64,Female,White,Married,"Some college, no 4-year degree",Retired,Refused,80,Yes,Yes,No,Purchased the book,No,Yes,1,1,0
146,54,Female,White,Living with a partner,"Some college, no 4-year degree",Disabled,4. 30m-39.9m,80,Yes,No,No,Got the book some other way,Yes,No,1,0,0
147,18,Male,White,Single,High school graduate,Employed full-time,1. <10m,80,Yes,No,Yes,Purchased the book,No,No,1,0,1
148,65,Male,White,Married,Post-graduate training/professional school after college,Employed part-time,7. 100-149.9,76,No,No,Yes,no_valid_response,Yes,Yes,0,0,1
149,24,Male,Mixed race,Never been married,Post-graduate training/professional school after college,Not employed for pay,5. 50-74.9,75,Yes,No,Yes,Purchased the book,Yes,No,1,0,1
150,54,Female,Black or African-American,Married,High school graduate,Employed full-time,4. 30m-39.9m,75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,1,0,0
151,81,Female,White,Widowed,College graduate,Not employed for pay,6. 75-99.9,75,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,1,1,0
152,78,Female,White,Widowed,High school graduate,Retired,7. 100-149.9,75,Yes,No,No,Got the book some other way,Yes,No,1,0,0
153,73,Female,White,Married,College graduate,Employed part-time,4. 30m-39.9m,75,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
154,68,Female,White,Widowed,"Some college, no 4-year degree",Retired,2. 10-19.9,75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,1,0,0
155,65,Female,White,Divorced,High school graduate,Retired,4. 30m-39.9m,75,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0
156,62,Female,White,Married,"Some college, no 4-year degree",Employed full-time,7. 100-149.9,75,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
157,61,Female,White,Married,High school graduate,Retired,7. 100-149.9,75,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0
158,55,Female,White,Widowed,College graduate,Employed full-time,5. 40m-49.9m,75,Yes,No,No,Got the book some other way,Yes,No,1,0,0
159,48,Female,White,Married,College graduate,Not employed for pay,7. 100-149.9,75,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes,1,1,0
160,48,Male,White,Never been married,Post-graduate training/professional school after college,Employed full-time,5. 50-74.9,75,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
161,45,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,Refused,75,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,1,1,1
162,39,Male,White,Married,College graduate,Employed full-time,7. 100-149.9,75,Yes,No,Yes,Borrowed the book from a friend or family member,No,No,1,0,1
163,55,Male,Black or African-American,Separated,High school graduate,Retired,2. 10-19.9,70,Yes,No,No,Got the book some other way,No,Yes,1,0,0
164,84,Female,White,Married,"Technical, trade or vocational school AFTER high school",Retired,7. 100-149.9,70,Yes,Yes,No,Got the book some other way,Yes,No,1,1,0
165,64,Female,White,Divorced,High school graduate,Employed full-time,4. 30m-39.9m,70,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
166,60,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,Refused,70,Yes,Yes,Yes,Borrowed the book from a library,Yes,No,1,1,1
167,58,Female,White,Married,Post-graduate training/professional school after college,Not employed for pay,7. 100-149.9,70,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1
168,53,Female,White,Married,High school graduate,Employed full-time,6. 75-99.9,70,Yes,No,Yes,Got the book some other way,No,No,1,0,1
169,31,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,5. 50-74.9,70,Yes,No,Yes,Purchased the book,No,Yes,1,0,1
170,22,Female,White,Married,High school graduate,Employed part-time,1. <10m,70,Yes,No,No,Purchased the book,No,No,1,0,0
171,21,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,1. <10m,70,Yes,No,No,Borrowed the book from a friend or family member,No,No,1,0,0
172,16,Female,White,Single,High school incomplete,Not employed for pay,7. 100-149.9,70,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
173,61,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,7. 100-149.9,67,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,1,1,1
174,40,Male,White,Married,High school graduate,Not employed for pay,1. <10m,65,Yes,No,No,Purchased the book,No,Yes,1,0,0
175,27,Male,White,Never been married,Post-graduate training/professional school after college,Employed full-time,5. 50-74.9,65,No,No,Yes,Purchased the book,Yes,Yes,0,0,1
176,35,Male,Native American/American Indian,Never been married,High school graduate,Employed full-time,7. 100-149.9,60,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
177,50,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Not employed for pay,5. 50-74.9,60,Yes,No,Yes,Purchased the book,No,Yes,1,0,1
178,45,Female,Black or African-American,Married,College graduate,Employed full-time,7. 100-149.9,60,Yes,Yes,Yes,Got the book some other way,No,Yes,1,1,1
179,16,Male,Black or African-American,Never been married,High school incomplete,Employed full-time,1. <10m,60,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0
180,66,Female,White,Married,Post-graduate training/professional school after college,Retired,5. 50-74.9,60,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,1,1,0
181,66,Female,White,Divorced,College graduate,Employed full-time,7. 100-149.9,60,Yes,No,No,Purchased the book,Yes,Don’t know,1,0,0
182,65,Female,White,Married,College graduate,Retired,5. 50-74.9,60,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0
183,62,Female,White,Widowed,College graduate,Retired,5. 40m-49.9m,60,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0
184,61,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,5. 50-74.9,60,Yes,No,Yes,Purchased the book,No,Yes,1,0,1
185,60,Male,White,Married,College graduate,Employed full-time,7. 100-149.9,60,Yes,Yes,No,Purchased the book,Yes,No,1,1,0
186,60,Female,White,Married,College graduate,Retired,Refused,60,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
187,58,Female,White,Widowed,High school graduate,Employed full-time,4. 30m-39.9m,60,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0
188,53,Male,White,Married,College graduate,Employed full-time,6. 75-99.9,60,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1
189,51,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,7. 100-149.9,60,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1
190,39,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,7. 100-149.9,60,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0
191,38,Male,White,Divorced,College graduate,Employed full-time,5. 40m-49.9m,60,Yes,No,No,Purchased the book,Yes,Yes,1,0,0
192,23,Female,White,Never been married,College graduate,Employed part-time,7. 100-149.9,60,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes,1,1,0
